시도,시군구,기준년도,2020,2021,2022,2023,2024,2020,,,,,,,,,,,,2021,,,,,,,,,,,,2022,,,,,,,,,,,,2023,,,,,,,,,,,,2024,,,,,,,,,,,
시도,시군구,기준년도,합계,합계,합계,합계,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시
서울,영등포구,(중상자[명]),87,97,99,102,97,3,0,6,10,8,18,7,16,11,4,2,2,2,0,2,6,9,12,19,12,11,12,5,7,0,3,5,8,11,14,12,15,12,11,5,3,5,3,3,4,17,15,9,13,10,9,6,8,0,3,4,12,18,7,13,9,12,10,8,1
서울,동작구,사고[건],199,157,183,228,227,10,2,10,5,23,25,28,25,32,18,11,10,2,2,10,6,16,23,24,24,13,18,10,9,0,4,8,12,18,22,22,29,25,21,11,11,8,4,2,18,27,32,27,34,27,29,12,8,6,9,16,17,28,37,31,23,24,20,9,7
서울,동작구,사망[명],2,8,5,4,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,2,2,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
서울,동작구,부상[명],205,159,183,246,242,10,2,10,5,25,26,29,26,32,18,11,11,1,2,9,5,17,21,23,27,14,20,12,8,0,4,7,12,18,22,23,30,25,21,11,10,8,3,2,26,26,32,29,34,31,32,15,8,6,10,18,18,30,41,33,23,26,21,9,7
서울,동작구,(중상자[명]),53,47,56,72,74,2,1,3,1,12,8,6,6,7,3,3,1,0,0,1,0,4,9,8,9,5,5,5,1,0,2,5,5,5,7,8,8,7,5,3,1,3,1,1,3,9,14,8,12,7,7,5,2,1,4,5,9,5,12,11,7,8,10,2,0
서울,관악구,사고[건],209,181,191,158,215,14,9,11,13,25,33,21,18,21,19,14,11,6,2,6,9,19,28,19,25,31,19,8,9,5,6,10,5,12,26,23,33,24,18,16,13,1,3,10,11,19,24,21,15,18,17,10,9,5,6,10,10,28,29,24,30,29,18,17,9
서울,관악구,사망[명],5,2,8,2,6,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0
서울,관악구,부상[명],215,189,199,171,225,15,8,10,13,24,34,23,20,22,21,14,11,6,2,6,8,20,28,20,27,35,20,8,9,5,6,10,4,12,26,25,33,31,19,15,13,1,3,10,13,19,26,22,20,21,17,10,9,6,6,10,10,30,31,26,31,28,19,18,10
서울,관악구,(중상자[명]),80,61,58,62,67,1,1,5,6,7,14,11,7,11,7,6,4,1,0,2,2,5,5,7,11,14,6,5,3,2,1,2,1,3,12,10,12,3,6,5,1,1,0,5,6,10,9,8,8,5,4,4,2,0,2,4,3,11,11,8,9,9,2,3,5
서울,강남구,사고[건],359,366,414,444,467,20,11,19,19,36,49,35,39,52,30,26,23,12,6,11,12,26,53,46,57,52,33,31,27,22,12,19,35,34,46,50,63,49,31,32,21,19,7,21,21,53,62,44,53,50,54,31,29,16,8,13,22,44,70,52,78,67,41,32,24
서울,강남구,사망[명],4,2,4,2,4,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0
서울,강남구,부상[명],384,384,442,481,494,21,10,21,19,38,54,38,44,56,31,27,25,11,6,11,13,28,53,47,65,55,34,34,27,21,12,19,38,36,47,53,68,52,33,42,21,20,7,22,21,58,72,54,56,53,54,34,30,16,8,13,23,50,78,55,79,71,43,33,25
서울,강남구,(중상자[명]),87,74,102,98,115,3,3,4,3,7,12,11,18,14,6,3,3,2,1,1,4,5,14,9,12,13,7,5,1,4,2,4,13,6,9,15,16,9,10,10,4,5,0,2,9,9,14,9,14,13,13,6,4,2,1,5,7,8,18,11,14,24,13,7,5
서울,강동구,사고[건],196,179,218,255,247,6,5,7,12,17,24,31,35,21,19,11,8,2,0,10,12,15,26,22,27,22,20,11,12,8,3,12,14,23,26,32,27,26,18,21,8,12,1,5,18,28,38,34,41,28,23,19,8,1,1,5,24,32,34,32,26,40,32,12,8
서울,강동구,사망[명],3,4,1,0,4,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
서울,강동구,부상[명],203,190,236,272,254,7,5,8,12,18,24,32,37,21,20,12,7,2,0,10,11,20,27,23,28,26,20,11,12,10,4,12,14,25,29,34,30,30,18,22,8,12,1,5,19,30,39,35,45,29,29,19,9,1,1,5,26,32,37,33,26,42,32,11,8
서울,강동구,(중상자[명]),78,75,78,91,75,2,1,4,6,9,10,11,12,8,8,3,4,0,0,5,4,13,11,6,9,10,8,5,4,5,2,6,7,10,5,13,9,8,6,6,1,2,0,2,4,8,17,13,16,9,7,9,4,0,0,2,10,10,12,11,5,13,7,4,1
서울,송파구,사고[건],336,334,366,405,408,13,12,13,16,30,40,49,54,43,33,23,10,11,5,9,21,32,44,44,48,44,38,26,12,8,8,17,22,51,39,42,49,51,30,28,21,10,9,15,28,44,49,54,56,51,41,29,19,11,8,13,21,52,57,50,52,45,40,37,22
서울,송파구,사망[명],5,6,4,4,12,0,0,2,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,1,0,0,3,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,3,2,1,1,2,0,2
서울,송파구,부상[명],349,350,399,437,427,13,14,11,17,31,42,54,56,44,33,24,10,14,5,9,21,32,45,52,52,44,38,26,12,10,8,18,27,54,41,45,54,57,35,28,22,10,9,18,31,47,50,59,59,57,42,35,20,11,8,12,22,59,56,55,57,48,39,40,20
서울,송파구,(중상자[명]),99,109,105,125,125,2,4,3,2,10,21,13,17,12,7,8,0,4,2,6,10,11,15,10,14,9,10,14,4,2,0,6,2,15,9,15,18,14,11,9,4,5,3,7,11,22,11,17,13,11,9,12,4,4,1,6,6,15,12,16,26,12,10,12,5
서울,서초구,사고[건],247,241,265,312,285,6,7,7,13,28,37,25,37,35,17,17,18,6,1,6,15,16,48,25,33,29,30,19,13,5,6,6,8,28,36,39,37,33,32,16,19,10,8,12,11,32,54,32,34,41,41,19,18,7,7,13,16,30,45,41,31,34,32,11,18
서울,서초구,사망[명],3,3,4,2,8,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,4,1,0,0,0,0,0
서울,서초구,부상[명],266,272,302,352,308,6,7,7,14,30,40,29,44,35,18,18,18,6,1,6,16,19,59,32,39,30,32,19,13,5,7,7,9,32,42,46,42,37,37,18,20,11,8,13,13,34,62,35,43,44,50,22,17,6,7,14,19,33,47,42,36,36,37,12,19
서울,서초구,(중상자[명]),59,67,72,74,50,0,2,3,4,6,5,8,9,9,6,4,3,1,0,3,6,3,10,12,7,7,11,4,3,0,1,1,3,7,16,9,9,7,11,3,5,3,0,2,5,11,14,9,11,4,10,2,3,2,0,3,5,4,4,10,6,4,5,3,4
