연도,시군구,법정동코드,총 인구,고령자 수,고령자 비율 (%),시군구명
2024,충청북도 제천시,4315000000,128569,35347,27.5,충청북도 제천시
2024,충청북도 보은군,4372000000,30527,12537,41.1,충청북도 보은군
2024,충청북도 옥천군,4373000000,48204,17216,35.7,충청북도 옥천군
2024,충청북도 영동군,4374000000,43551,16625,38.2,충청북도 영동군
2024,충청북도 증평군,4374500000,37171,8044,21.6,충청북도 증평군
2024,충청북도 진천군,4375000000,86537,16767,19.4,충청북도 진천군
2024,충청북도 괴산군,4376000000,36252,15024,41.4,충청북도 괴산군
2024,충청북도 음성군,4377000000,91236,23968,26.3,충청북도 음성군
2024,충청북도 단양군,4380000000,27352,10491,38.4,충청북도 단양군
2024,충청남도 천안시,4413000000,659920,92478,14,충청남도 천안시
2024,충청남도 공주시,4415000000,101285,31722,31.3,충청남도 공주시
2024,충청남도 보령시,4418000000,93780,29461,31.4,충청남도 보령시
2024,충청남도 아산시,4420000000,355014,52923,14.9,충청남도 아산시
2024,충청남도 서산시,4421000000,174445,38611,22.1,충청남도 서산시
2024,충청남도 논산시,4423000000,108529,34591,31.9,충청남도 논산시
2024,충청남도 계룡시,4425000000,46540,7006,15.1,충청남도 계룡시
2024,충청남도 당진시,4427000000,171931,36886,21.5,충청남도 당진시
2024,충청남도 금산군,4471000000,49615,18012,36.3,충청남도 금산군
2024,충청남도 부여군,4476000000,59550,24506,41.2,충청남도 부여군
2024,충청남도 서천군,4477000000,48204,20288,42.1,충청남도 서천군
2024,충청남도 청양군,4479000000,29658,12082,40.7,충청남도 청양군
2024,충청남도 홍성군,4480000000,99198,27077,27.3,충청남도 홍성군
2024,충청남도 예산군,4481000000,78772,27566,35,충청남도 예산군
2024,충청남도 태안군,4482500000,60133,22439,37.3,충청남도 태안군
2024,전라남도 목포시,4611000000,209890,44454,21.2,전라남도 목포시
2024,전라남도 여수시,4613000000,267816,63857,23.8,전라남도 여수시
2024,전라남도 순천시,4615000000,276329,53410,19.3,전라남도 순천시
2024,전라남도 나주시,4617000000,116654,29155,25,전라남도 나주시
2024,전라남도 광양시,4623000000,154692,25136,16.2,전라남도 광양시
2024,전라남도 담양군,4671000000,44623,15890,35.6,전라남도 담양군
2024,전라남도 곡성군,4672000000,26566,10765,40.5,전라남도 곡성군
2024,전라남도 구례군,4673000000,24025,9477,39.4,전라남도 구례군
2024,전라북도 고창군,4677000000,50982,20222,39.7,전라북도 고창군
2024,전라남도 고흥군,4677000000,60190,27498,45.7,전라남도 고흥군
2024,전라남도 보성군,4678000000,37045,16247,43.9,전라남도 보성군
2024,전라남도 화순군,4679000000,60735,18776,30.9,전라남도 화순군
2024,전라북도 장수군,4680000000,20663,8243,39.9,전라북도 장수군
2024,전라남도 장흥군,4680000000,34451,13479,39.1,전라남도 장흥군
2024,전라남도 강진군,4681000000,32189,12685,39.4,전라남도 강진군
2024,전라남도 해남군,4682000000,63120,23771,37.7,전라남도 해남군
2024,전라남도 영암군,4683000000,51391,15642,30.4,전라남도 영암군
2024,전라북도 무주군,4684000000,23032,8755,38,전라북도 무주군
2024,전라북도 부안군,4684000000,48066,18571,38.6,전라북도 부안군
2024,전라남도 무안군,4684000000,92687,19592,21.1,전라남도 무안군
